0000	C0 controls
2B90	Keyboard symbols
2B94	Miscellaneous arrow symbol
2B95	Black arrow
2B97	Miscellaneous symbol
2B98	Arrowheads
2BA0	Triangle-headed arrows with bent tips
2BA8	Black curved arrows
2BB0	Ribbon arrows
2BB8	Keyboard symbols
2BBA	Symbols used in chess notation
2BBD	Geometric symbols
2BC0	Centred geometric shapes
2BC9	Astronomical symbol
2BCA	Half circles
2BCC	Cusp shapes
2BD0	Miscellaneous symbols
2BD3	Astrological symbols for Pluto
2BD7	Miscellaneous astrological symbols
2BE0	Uranian astrological symbols
2BE8	Half star characters
2BEC	Two-headed arrow symbols
2BF0	Astrological symbols for Eris and Sedna
2BF3	Russian astrological aspects
2BF9	Symbols used in chess notation
2BFF	Miscellaneous symbol
